"","zip","year","price","flip_horizon","price_diff","mortgage","inv_to_inv","lat","lon","i2i_rank","perc_top_invested"
"426",2115,2002,345000,556,66000,244200,0.113496932515337,42.345422690184,-71.0891968680982,426,0.347626339969372
"427",2113,2009,452500,1658,39200,271360,0.112676056338028,42.365117112676,-71.0552292253521,427,0.346094946401225
"428",2113,2020,675000,2608,161500,414000,0.112676056338028,42.3654208873239,-71.0552704788732,428,0.344563552833078
"429",2131,2012,3e+05,2055,-13000,228600,0.112540192926045,42.2834975434084,-71.1294697427653,429,0.343032159264931
"430",2109,2000,365000,1,-306000,213600,0.112068965517241,42.3644562155172,-71.0523287844828,430,0.341500765696784
"431",2114,2006,440000,1134,74000,273560,0.112068965517241,42.3615590043103,-71.0668168491379,431,0.339969372128637
"432",2127,2017,688000,1779,210000,488000,0.111744583808438,42.3349893990878,-71.0433502976055,432,0.33843797856049
"433",2467,2009,542000,1267.5,10000,144750,0.111111111111111,42.3215002777778,-71.1421568333333,433,0.336906584992343
"434",2467,2021,637500,3652.5,204950,0,0.111111111111111,42.3104540555556,-71.1510120555556,434,0.335375191424196
"435",2118,2008,510000,1459.5,55000,350000,0.110481586402266,42.3398774844193,-71.0751917053824,435,0.333843797856049
"436",2108,2004,610000,1096.5,87500,261600,0.110091743119266,42.3573117614679,-71.0669397981651,436,0.332312404287902
"437",2109,2003,444875,1026,66000,295200,0.109756097560976,42.3648749390244,-71.052098597561,437,0.330781010719755
"438",2128,2005,339950,876,108950,252320,0.109717868338558,42.3753661865204,-71.0312888181818,438,0.329249617151608
"439",2135,2008,283000,1515,10750,195000,0.109660574412533,42.3450285770235,-71.1517982114883,439,0.327718223583461
"440",2132,2011,359900,2042,750,250000,0.108626198083067,42.2794947284345,-71.158747172524,440,0.326186830015314
"441",2215,2002,261500,621,50056.5,181150,0.108333333333333,42.3466468791667,-71.09521005,441,0.324655436447167
"442",2127,2012,408000,1876,23000,285000,0.107784431137725,42.3352798071856,-71.0443342071856,442,0.32312404287902
"443",2467,2008,395000,823,28500,133425,0.107142857142857,42.3153745357143,-71.1452286428571,443,0.321592649310873
"444",2128,2004,375000,785.5,1e+05,292500,0.106382978723404,42.3774375768322,-71.0298733262411,444,0.320061255742726
"445",2131,2018,520000,1818.5,173000,399200,0.105740181268882,42.2839903746224,-71.1287264652568,445,0.318529862174579
