"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"169279",25025120400,2130,559000,2205,0.466765873015873,87434,182237,598,371,10,348,4349,1015,4269,722,2765,3241,6006,1008,7,11,20,29,941,1209.5,346875
"170615",25025120400,2445,559000,2205,0.466765873015873,87434,182237,598,371,10,348,4349,1015,4269,722,2765,3241,6006,1008,7,11,20,29,941,1209.5,346875
"171736",25025020305,2114,530000,2585,0.460443037974684,127386,125833,277,625,7,167,2376,501,2834,298,1802,1831,3633,316,1,1,11,12,291,871,250050
"172616",25025081101,2130,370500,2559,0.370689655172414,70982,86310,158,299,0,154,806,268,1137,79,655,829,1484,116,8,10,7,5,86,750,215812.5
"172656",25025081101,2115,370500,2559,0.370689655172414,70982,86310,158,299,0,154,806,268,1137,79,655,829,1484,116,8,10,7,5,86,750,215812.5
"172949",25025010103,2215,7250000,NA,0.5,34093,200313,513,942,13,352,2661,36,4631,30,1936,2761,4697,1,0,0,0,0,1,0,5437500
"172952",25025000201,2135,525000,2414,0.397727272727273,99750,125637,422,421,1,138,2712,293,3252,408,1900,2053,3953,264,3,10,23,18,210,2007.5,359860
"173036",25025000201,1135,525000,2414,0.397727272727273,99750,125637,422,421,1,138,2712,293,3252,408,1900,2053,3953,264,3,10,23,18,210,2007.5,359860
"173105",25025000201,2136,525000,2414,0.397727272727273,99750,125637,422,421,1,138,2712,293,3252,408,1900,2053,3953,264,3,10,23,18,210,2007.5,359860
"173621",25025010405,2115,799000,2530,0.197297297297297,17245,0,547,1332,5,683,3793,450,6257,146,3206,3647,6853,185,77,9,17,9,73,425,472000
"173629",25025010405,2215,799000,2530,0.197297297297297,17245,0,547,1332,5,683,3793,450,6257,146,3206,3647,6853,185,77,9,17,9,73,425,472000
"174007",25025070901,2118,668500,2106,0.397321428571429,21250,0,400,113,0,303,291,180,773,212,538,627,1165,112,10,3,6,4,89,1003,373312.5
"174049",25025070901,2115,668500,2106,0.397321428571429,21250,0,400,113,0,303,291,180,773,212,538,627,1165,112,10,3,6,4,89,1003,373312.5
"174252",25025020302,2114,820500,2386,0.420658682634731,109408,186563,100,90,0,42,1007,120,1059,114,639,654,1293,334,5,14,16,18,281,1000,4e+05
"174257",25025020302,2108,820500,2386,0.420658682634731,109408,186563,100,90,0,42,1007,120,1059,114,639,654,1293,334,5,14,16,18,281,1000,4e+05
"174774",25025020302,2126,820500,2386,0.420658682634731,109408,186563,100,90,0,42,1007,120,1059,114,639,654,1293,334,5,14,16,18,281,1000,4e+05
"175118",25025981502,2128,750000,3662,0.384615384615385,0,0,6,0,0,0,0,1,3,3,7,0,7,13,1,0,0,2,10,2244,1
"175119",25025981202,2127,890000,1363,0.484177215189873,0,0,2,0,0,0,1,0,3,3,2,4,6,158,0,0,2,3,153,1482.5,428975
"175266",25025981202,2210,890000,1363,0.484177215189873,0,0,2,0,0,0,1,0,3,3,2,4,6,158,0,0,2,3,153,1482.5,428975
"175379",25025081200,2130,425000,2342,0.387323943661972,18864,133836,1677,156,2,913,577,417,2233,856,1562,1944,3506,142,3,13,9,7,110,1062,310100
"175475",25025081200,2120,425000,2342,0.387323943661972,18864,133836,1677,156,2,913,577,417,2233,856,1562,1944,3506,142,3,13,9,7,110,1062,310100
"175720",25025981800,2215,582500,2371,0.473214285714286,0,0,2,0,0,2,15,4,15,4,16,7,23,56,0,0,0,3,53,1265,0
"175721",25025981800,2130,582500,2371,0.473214285714286,0,0,2,0,0,2,15,4,15,4,16,7,23,56,0,0,0,3,53,1265,0
"175745",25025981800,2129,582500,2371,0.473214285714286,0,0,2,0,0,2,15,4,15,4,16,7,23,56,0,0,0,3,53,1265,0
"175762",25025981800,2115,582500,2371,0.473214285714286,0,0,2,0,0,2,15,4,15,4,16,7,23,56,0,0,0,3,53,1265,0
"175855",25025110104,2131,403000,2805,0.370689655172414,26224,0,1045,55,1,532,433,206,1430,541,983,1194,2177,116,6,9,9,6,86,1245,288225
"176171",25025061101,2127,617500,3751,0.25,12259,0,1127,388,12,518,516,308,1682,720,1184,1526,2710,8,1,0,1,2,4,1982.5,268000
"176192",25025060602,2210,867500,1937,0.46875,104861,0,10,33,2,10,265,12,300,19,188,143,331,48,0,1,0,2,45,1401,402500
"176193",25025060602,2127,867500,1937,0.46875,104861,0,10,33,2,10,265,12,300,19,188,143,331,48,0,1,0,2,45,1401,402500
